stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Alfamidi Lotus Jasmine,,Alfamidi Lotus Jasmine,,-6.570540000,106.767440000,,,,,,2
SMPN 6 Bogor,,SMPN 6 Bogor,,-6.577380000,106.772760000,,,,,,2
RSUD Kota Bogor,,RSUD Kota Bogor ,,-6.581380000,106.777580000,,,,,,2
Jl. Manungal,,Jl. Manungal,,-6.586420000,106.783100000,,,,,,2
SMK YKTB,,SMK YKTB,,-6.589740000,106.785700000,,,,,,2
Terminal Bus Merdeka Bogor,,Terminal Bus Merdeka Bogor,,-6.592461400,106.786293500,,,,,,2
Jembatan Merah,,Jembatan Merah,,-6.595610000,106.788180000,,,,,,2
Stasiun Bogor,,Stasiun Bogor,,-6.596110000,106.789680000,,,,,,2
Resto Gumati,,Resto Gumati,,-6.601150000,106.792560000,,,,,,2
Jl. Paledang,,Jl. Paledang,,-6.601410000,106.795100000,,,,,,2
BTM,,BTM,,-6.604160000,106.796530000,,,,,,2
STIE NIBA Business School,,STIE NIBA Business School,,-6.607950000,106.796000000,,,,,,2
RSIA Melania,,RSIA Melania,,-6.611590000,106.800760000,,,,,,2
Superindo,,Superindo,,-6.615230000,106.803940000,,,,,,2
Pizza Hut,,Pizza Hut,, -6.618310000,106.806280000,,,,,,2	
Puskesmas Batu Tulis,,Puskesmas Batu Tulis,,-6.621760000,106.808440000,,,,,,2
Jl. Cipaku,,Jl. Cipaku,,-6.625390000,106.809950000,,,,,,2
Apotik Panoyanan,,Apotik Panoyanan,,-6.627780000,106.809580000,,,,,,2
Posyandu Seroja,,Posyandu Seroja,,-6.628440000,106.806850000,,,,,,2
Masjid Al Qomar,,Masjid Al Qomar,,-6.627730000,106.804330000,,,,,,2
Jl. Cipinang Gading/Rangga Mekar,,Jl. Cipinang Gading/Rangga Mekar,,-6.625670000,106.802930000,,,,,,2
Jl. Cipinang Gading,,Jl. Cipinang Gading,,-6.623020000,106.800580000,,,,,,2
Jl. Bogor Baru,,Jl. Bogor Baru,,-6.591730000,106.808840000,,,,,,2
IPB Diploma,,IPB Diploma,,-6.591230000,106.805860000,,,,,,2
Riset Perkebunan The,,Riset Perkebunan The,,-6.588780000,106.805060000,,,,,,2
McDonalds Lodaya,,McDonalds Lodaya,,-6.592470000,106.804820000,,,,,,2
Lippo Plaza Kebun Raya Bogor,,Lippo Plaza Kebun Raya Bogor,,-6.596060000,106.804350000,,,,,,2
RS PMI Bogor,,RS PMI Bogor,,-6.598310000,106.804780000,,,,,,2
SDN Bangka 3,,SDN Bangka 3,,-6.601770000,106.803970000,,,,,,2
Plaza Bogor,,Plaza Bogor,,-6.602800000,106.799530000,,,,,,2
Pustaka,,Pustaka,,-6.598130000,106.794120000,,,,,,2
Kantor Bersama Samsat Kota Bogor,,Kantor Bersama Samsat Kota Bogor,,-6.594190000,106.795240000,,,,,,2
LAPANGAN SEMPUR,,LAPANGAN SEMPUR,,-6.592570000,106.801700000,,,,,,2
Jl. H. Moh. Tohir,,Jl. H. Moh. Tohir,,-6.591820000,106.814410000,,,,,,2
SDN 1 Ciheuleut,,SDN 1 Ciheuleut,,-6.601850000,106.813730000,,,,,,2
Universitas Pakuan Bogor,,Universitas Pakuan Bogor,,-6.599200000,106.812650000,,,,,,2
Botani Square,,Botani Square,,-6.601850000,106.805530000,,,,,,2
Terminal Baranangsiang,,Terminal Baranangsiang,,-6.603730000,106.806410000,,,,,,2
Masjid Raya Kota Bogor,,Masjid Raya Kota Bogor,,-6.606920000,106.808900000,,,,,,2
Jl. Sambu,,Jl. Sambu,,-6.606560000,106.807300000,,,,,,2
Jl. Bangka,,Jl. Bangka,,-6.605160000,106.805100000,,,,,,2
Polsek Bogor Selatan,,Polsek Bogor Selatan,,-6.611820000,106.801060000,,,,,,2
Jl. Sekip,,Jl. Sekip,,-6.623660000,106.810940000,,,,,,2
SDN Laanggintung 1,,SDN Laanggintung 1,,-6.622890000,106.812450000,,,,,,2
SDN Laanggintung 2,,SDN Laanggintung 2,,-6.620890000,106.812450000,,,,,,2
Jl. Sukasari - Toko Sepatu Milano,,Jl. Sukasari - Toko Sepatu Milano,,-6.618400000,106.812560000,,,,,,2
Monumen Pungli,,Monumen Pungli,,-6.617650000,106.813500000,,,,,,2
Jl. Sukasari,,Jl. Sukasari,,-6.618540000,106.815380000,,,,,,2
Gg. Aut,,Gg. Aut,,-6.609850000,106.804400000,,,,,,2
RS Vania,,RS Vania,,-6.612880000,106.807460000,,,,,,2
Jl. Batu Tulis,,Jl. Batu Tulis,,-6.616230000,106.810190000,,,,,,2
Taman Kencana,,Taman Kencana,,-6.588960000,106.801410000,,,,,,2
Jl. Papandayan,,Jl. Papandayan,,-6.586530000,106.799870000,,,,,,2
SMPN 20 Bogor,,SMPN 20 Bogor,,-6.583630000,106.800280000,,,,,,2
Jl. Ciremei Ujung,,Jl. Ciremei Ujung,,-6.580550000,106.802040000,,,,,,2
Jl. Kabandungan,,Jl. Kabandungan,,-6.578790000,106.802280000,,,,,,2
Mesjid Baranang Siang 1,,Mesjid Baranang Siang 1,,-6.575290000,106.804350000,,,,,,2
Sekolahan,,Sekolahan,,-6.572070000,106.807380000,,,,,,2
arung Jambu,,arung Jambu,,-6.570220000,106.807550000,,,,,,2
Jl. Pahlaan 2,,Jl. Pahlaan 2,,-6.612060000,106.802100000,,,,,,2
Jl. Padasuka1,,Jl. Padasuka1,,-6.609660000,106.803130000,,,,,,2
Jl. Padasuka2,,Jl. Padasuka2,,-6.608030000,106.801190000,,,,,,2
Jl. Cincau 4,,Jl. Cincau 4,,-6.606800000,106.798930000,,,,,,2
Jl. Cincau,,Jl. Cincau,,-6.604480000,106.797500000,,,,,,2
Telkom IPB,,Telkom IPB,,-6.586900000,106.805610000,,,,,,2
Masjid Salman Al Farisi,,Masjid Salman Al Farisi,,-6.583810000,106.806140000,,,,,,2
Bangbarung,,Bangbarung,,-6.580850000,106.807130000,,,,,,2
RS Azra,,RS Azra,,-6.579300000,106.807190000,,,,,,2
Jl. Cemped,,Jl. Cemped,,-6.581080000,106.809250000,,,,,,2
RS Mulia Pajajaran,,RS Mulia Pajajaran,,-6.575890000,106.807820000,,,,,,2
PLN Bogor Timur,,PLN Bogor Timur,,-6.572140000,106.808540000,,,,,,2
arung Nangka Rancamaya,,arung Nangka Rancamaya,, -6.676070000,106.848110000,,,,,,2
Gedung Graha Hj Siti Hindun,,Gedung Graha Hj Siti Hindun,,-6.671270000,106.846910000,,,,,,2
Rancamaya Golf Estate,,Rancamaya Golf Estate,,-6.662490000,106.845020000,,,,,,2
Rancamaya2,,Rancamaya2,,-6.664370000,106.837590000,,,,,,2
SDN Rancamaya 1,,SDN Rancamaya 1,,-6.666520000,106.830620000,,,,,,2
Rivela Park Residence,,Rivela Park Residence,,-6.660300000,106.835000000,,,,,,2
Kertamaya1,,Kertamaya1,,-6.652580000,106.829530000,,,,,,2
Kantor Lurah Kertamaya,,Kantor Lurah Kertamaya,,-6.650210000	,106.826590000,,,,,,2
Kertamaya-3,,Kertamaya-3,,-6.645980000,106.822300000,,,,,,2
SDN Cipaku 01,,SDN Cipaku 01,,-6.636100000,106.813360000,,,,,,2
TPU Gunung Gadung,,TPU Gunung Gadung,,-6.640250000,106.816900000,,,,,,2
Puskesmas Cipaku,,Puskesmas Cipaku,,-6.630610000,106.810750000,,,,,,2
Sekolah Nurul Fata,, Sekolah Nurul Fata,,-6.634620000,106.799220000,,,,,,2
Toko Aura,, Toko Aura,, -6.634160000,106.801470000,,,,,,2
Riyad Barokah Jaya,,Riyad Barokah Jaya,, -6.634710000,106.803610000,,,,,,2
Sekolah Dasa Semesta,,Sekolah Dasa Semesta,,-6.632690000,106.805460000,,,,,,2
Simpang Jl. Pabuaran,, Simpang Jl. Pabuaran,,-6.632200000,106.807530000,,,,,,2
Jl. Muara2,,Jl. Muara2,,-6.614720000,106.792510000,,,,,,2
Jl. Cipinang,,Jl. Cipinang,,-6.629060000,106.807210000,,,,,,2
Suaka Peninggalan Sejarah & Purbakala,,Suaka Peninggalan Sejarah & Purbakala,,-6.623470000,106.808870000,,,,,,2
Posyandu Cempaka 2,,Posyandu Cempaka 2,,-6.635830000,106.797380000,,,,,,2
Aston,,Aston,,-6.637870000,106.796340000,,,,,,2
Alfamart Cimahpar Raya,,Alfamart Cimahpar Raya,,-6.589750000,106.827620000,,,,,,2
SDN Cimahpar,,SDN Cimahpar,,-6.589270000,106.824600000,,,,,,2
Klinik Dokter Armina,,Klinik Dokter Armina,,-6.588860000,106.820920000,,,,,,2
Jl. T. iradiredja,, Jl. T. iradiredja,,-6.590720000,106.816980000,,,,,,2
Jl. Moh. Tohir,, Jl. Moh. Tohir,, -6.590850000,106.816690000,,,,,,2
Jl. Citanduy,,Jl. Citanduy,,-6.591800000,106.811920000,,,,,,2
